model,accuracy,f1_weighted,recall_class_4,average_precision_class_4,precision_at_0.9_recall,threshold_for_target_recall
random_forest_new_weight.joblib,0.7734567614085687,0.749854572233928,0.9921052631578947,0.632854530374954,0.4936108821104699,0.6134573527601099
modelo_logreg_multi_new_weight.joblib,0.8782155649625529,0.8811674951740129,0.9146616541353384,0.6766250126824784,0.5372531418312387,0.53908540507793
random_forest.joblib,0.7524770898264874,0.7746405519627595,0.8263157894736842,0.7766099981134685,0.5613130128956624,0.21083573372733178
baseline.joblib,0.6767921105270502,0.6332539359797451,0.7477443609022556,0.5635087908700043,0.44423826312859527,0.09360182760382776
random_forest_new.joblib,0.8887751779318044,0.8928666574961772,0.7428571428571429,0.6311043245897674,0.459412780656304,0.3170892008318243
modelo_logreg_multi_new.joblib,0.8658417453598176,0.883513028142207,0.6785714285714286,0.6233815462777387,0.5009416195856874,0.21932599860475557
modelo_logreg_multi.joblib,0.48844024747639203,0.5249864935431814,0.6680451127819549,0.5546717229596698,0.4325984821105891,0.1766913544949407
decision_tree_new.joblib,0.8943108340698702,0.8964888657305635,0.6669172932330827,0.5882237141103533,0.38579234972677595,0.3121818377526435
decision_tree_new_weight.joblib,0.8943108340698702,0.8964888657305635,0.6669172932330827,0.5882237141103533,0.38579234972677595,0.3121818377526435
decision_tree.joblib,0.7759222217053542,0.7845924657356051,0.5759398496240602,0.5812371190967033,0.25495175215845606,0.3001885796445046
